Order ID,Customer Name,Product Name,Discount,Actual Discount,Sales,Profit,Quantity,Category,Sub-Category,Order Date,City,Country,Region,Segment,Ship Date,Days to Ship,Ship Mode,State
AZ-2011-5702370,Hershel Snyder,"Binney & Smith Canvas, Blue",0,0,257,49,5,Office Supplies,Art,12-01-2013,Lohne,Germany,Central,Corporate,19-01-2013,7,Economy,Lower Saxony
AZ-2011-5702370,Hershel Snyder,"Ibico Index Tab, Clear",0,0,17,6,2,Office Supplies,Binders,12-01-2013,Lohne,Germany,Central,Corporate,19-01-2013,7,Economy,Lower Saxony
AZ-2011-5702370,Hershel Snyder,"Epson Printer, White",0,0,522,21,2,Technology,Machines,12-01-2013,Lohne,Germany,Central,Corporate,19-01-2013,7,Economy,Lower Saxony
BN-2011-4913858,Julian Dobie,"Wilson Jones Hole Reinforcements, Durable",0.5,4.5,9,-3,3,Office Supplies,Binders,13-01-2013,Dordrecht,Netherlands,Central,Consumer,19-01-2013,6,Economy,South Holland
BN-2011-4913858,Julian Dobie,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,11,22,-12,4,Office Supplies,Labels,13-01-2013,Dordrecht,Netherlands,Central,Consumer,19-01-2013,6,Economy,South Holland
BN-2011-4913858,Julian Dobie,"Green Bar Cards & Envelopes, Multicolor",0.5,25,50,-38,2,Office Supplies,Paper,13-01-2013,Dordrecht,Netherlands,Central,Consumer,19-01-2013,6,Economy,South Holland
BN-2011-4913858,Julian Dobie,"Smead Lockers, Blue",0.5,99,198,-131,2,Office Supplies,Storage,13-01-2013,Dordrecht,Netherlands,Central,Consumer,19-01-2013,6,Economy,South Holland
BN-2011-2807470,Rose Heap,"Sanford Pens, Fluorescent",0.5,15.5,31,-14,5,Office Supplies,Art,13-01-2013,Gothenburg,Sweden,North,Consumer,20-01-2013,7,Economy,V盲stra G枚taland
AZ-2011-5960662,Ella Troy,"Xerox Message Books, Premium",0,0,224,103,11,Office Supplies,Paper,14-01-2013,Vienna,Austria,Central,Home Office,19-01-2013,5,Economy,Vienna
AZ-2011-5960662,Ella Troy,"StarTech Card Printer, White",0,0,486,78,3,Technology,Machines,14-01-2013,Vienna,Austria,Central,Home Office,19-01-2013,5,Economy,Vienna
AZ-2011-5960662,Ella Troy,"Apple Headset, with Caller ID",0,0,440,66,6,Technology,Phones,14-01-2013,Vienna,Austria,Central,Home Office,19-01-2013,5,Economy,Vienna
AZ-2011-7675351,Everett Dunbar,"Cuisinart Microwave, White",0.1,24.9,249,3,1,Office Supplies,Appliances,15-01-2013,Langen,Germany,Central,Corporate,20-01-2013,5,Economy Plus,Lower Saxony
AZ-2011-7675351,Everett Dunbar,"Harbour Creations Removable Labels, 5000 Label Set",0,0,21,7,2,Office Supplies,Labels,15-01-2013,Langen,Germany,Central,Corporate,20-01-2013,5,Economy Plus,Lower Saxony
AZ-2011-7675351,Everett Dunbar,"Green Bar Computer Printout Paper, 8.5 x 11",0,0,170,25,5,Office Supplies,Paper,15-01-2013,Langen,Germany,Central,Corporate,20-01-2013,5,Economy Plus,Lower Saxony
AZ-2011-7675351,Everett Dunbar,"Elite Letter Opener, Easy Grip",0,0,55,2,2,Office Supplies,Supplies,15-01-2013,Langen,Germany,Central,Corporate,20-01-2013,5,Economy Plus,Lower Saxony
AZ-2011-7675351,Everett Dunbar,"Hewlett Copy Machine, Laser",0,0,527,11,2,Technology,Copiers,15-01-2013,Langen,Germany,Central,Corporate,20-01-2013,5,Economy Plus,Lower Saxony
BN-2011-3770060,Georgia Bermingham,"Hon Shipping Labels, Laser Printer Compatible",0.5,8.5,17,-8,3,Office Supplies,Labels,17-01-2013,Copenhagen,Denmark,North,Home Office,23-01-2013,6,Economy,Hovedstaden
AZ-2011-7419210,Christopher Goold,"Stockwell Thumb Tacks, Bulk Pack",0,0,108,33,8,Office Supplies,Fasteners,18-01-2013,Gandia,Spain,South,Corporate,21-01-2013,3,Priority,Valenciana
AZ-2011-1816950,John Baca,"Acco Binding Machine, Economy",0.5,13,26,-11,1,Office Supplies,Binders,18-01-2013,Esbjerg,Denmark,North,Consumer,23-01-2013,5,Economy Plus,South Denmark
AZ-2011-5342265,Jennifer Mattingly,"Wilson Jones Binding Machine, Clear",0,0,145,44,3,Office Supplies,Binders,19-01-2013,Trapani,Italy,South,Home Office,20-01-2013,1,Priority,Sicily
AZ-2011-5342265,Jennifer Mattingly,"Fellowes Folders, Blue",0.4,19.2,48,8,3,Office Supplies,Storage,19-01-2013,Trapani,Italy,South,Home Office,20-01-2013,1,Priority,Sicily
AZ-2011-3059419,Kai Leonard,"GlobeWeis Business Envelopes, Recycled",0,0,48,21,3,Office Supplies,Envelopes,19-01-2013,Sesto San Giovanni,Italy,South,Corporate,21-01-2013,2,Priority,Lombardy
AZ-2011-2002251,Nathan Iqbal,"Boston Pencil Sharpener, Water Color",0,0,58,8,2,Office Supplies,Art,20-01-2013,Villiers-sur-Marne,France,Central,Consumer,25-01-2013,5,Economy,Ile-de-France
AZ-2011-5357101,Noah Chamberlain,"Memorex Router, Programmable",0,0,495,233,2,Technology,Accessories,21-01-2013,Bielefeld,Germany,Central,Consumer,26-01-2013,5,Economy,North Rhine-Westphalia
AZ-2011-8034411,Melissa Bean,"Bush Classic Bookcase, Traditional",0,0,825,338,2,Furniture,Bookcases,22-01-2013,Prato,Italy,South,Home Office,26-01-2013,4,Economy,Tuscany
AZ-2011-8034411,Melissa Bean,"Boston Canvas, Easy-Erase",0,0,54,12,1,Office Supplies,Art,22-01-2013,Prato,Italy,South,Home Office,26-01-2013,4,Economy,Tuscany
AZ-2011-8034411,Melissa Bean,"Rogers Lockers, Single Width",0.4,355.6,889,59,7,Office Supplies,Storage,22-01-2013,Prato,Italy,South,Home Office,26-01-2013,4,Economy,Tuscany
AZ-2011-2245674,Dylan Disney,"Avery Index Tab, Clear",0,0,12,3,2,Office Supplies,Binders,22-01-2013,Leuven,Belgium,Central,Home Office,26-01-2013,4,Economy,Flemish Brabant
AZ-2011-2245674,Dylan Disney,"Tenex File Cart, Blue",0,0,666,120,5,Office Supplies,Storage,22-01-2013,Leuven,Belgium,Central,Home Office,26-01-2013,4,Economy,Flemish Brabant
BN-2011-7883641,William Horton,"Harbour Creations Swivel Stool, Set of Two",0.6,43.8,73,-57,1,Furniture,Chairs,24-01-2013,Bologna,Italy,South,Consumer,26-01-2013,2,Priority,Emilia-Romagna
BN-2011-7883641,William Horton,"Office Star Bag Chairs, Set of Two",0.6,41.4,69,-95,3,Furniture,Chairs,24-01-2013,Bologna,Italy,South,Consumer,26-01-2013,2,Priority,Emilia-Romagna
BN-2011-7883641,William Horton,"Advantus Staples, 12 Pack",0,0,41,3,4,Office Supplies,Fasteners,24-01-2013,Bologna,Italy,South,Consumer,26-01-2013,2,Priority,Emilia-Romagna
BN-2011-7883641,William Horton,"Harbour Creations Color Coded Labels, Adjustable",0,0,54,8,5,Office Supplies,Labels,24-01-2013,Bologna,Italy,South,Consumer,26-01-2013,2,Priority,Emilia-Romagna
BN-2011-7883641,William Horton,"SanDisk Memo Slips, Multicolor",0,0,55,3,3,Office Supplies,Paper,24-01-2013,Bologna,Italy,South,Consumer,26-01-2013,2,Priority,Emilia-Romagna
AZ-2011-6684426,Vaughn Gibbs,"Boston Markers, Fluorescent",0,0,28,4,1,Office Supplies,Art,24-01-2013,Gela,Italy,South,Home Office,26-01-2013,2,Economy Plus,Sicily
AZ-2011-5010109,Walter Coley,"Stanley Markers, Water Color",0,0,178,59,7,Office Supplies,Art,25-01-2013,Maisons-Alfort,France,Central,Consumer,30-01-2013,5,Economy,Ile-de-France
AZ-2011-4205736,David Harney,"Advantus Light Bulb, Duo Pack",0,0,20,4,1,Furniture,Furnishings,25-01-2013,Menden,Germany,Central,Corporate,01-02-2013,7,Economy,North Rhine-Westphalia
AZ-2011-4205736,David Harney,"Cardinal Binder, Clear",0,0,133,4,10,Office Supplies,Binders,25-01-2013,Menden,Germany,Central,Corporate,01-02-2013,7,Economy,North Rhine-Westphalia
AZ-2011-5708655,Hayley Baldwinson,"Acco Binder Covers, Clear",0,0,13,5,1,Office Supplies,Binders,26-01-2013,Oslo,Norway,North,Consumer,30-01-2013,4,Economy,Oslo
AZ-2011-5708655,Hayley Baldwinson,"Avery Binder, Economy",0,0,52,20,4,Office Supplies,Binders,26-01-2013,Oslo,Norway,North,Consumer,30-01-2013,4,Economy,Oslo
AZ-2011-5708655,Hayley Baldwinson,"Memorex Flash Drive, Bluetooth",0,0,88,18,3,Technology,Accessories,26-01-2013,Oslo,Norway,North,Consumer,30-01-2013,4,Economy,Oslo
AZ-2011-201891,Lori Miller,"Smead Removable Labels, 5000 Label Set",0,0,32,10,3,Office Supplies,Labels,26-01-2013,Madrid,Spain,South,Consumer,30-01-2013,4,Economy,Madrid
BN-2011-6722454,Joseph Locke,"Hewlett Wireless Fax, Laser",0.5,285,570,-217,3,Technology,Copiers,26-01-2013,Lisbon,Portugal,South,Corporate,30-01-2013,4,Economy,Lisboa
BN-2011-486854,Gracie Hicks,"Rogers Folders, Single Width",0.1,2.8,28,-1,1,Office Supplies,Storage,28-01-2013,Draguignan,France,Central,Consumer,03-02-2013,6,Economy,Provence-Alpes-C么te d'Azur
AZ-2011-494581,Kiara Allen,"Sanford Pencil Sharpener, Water Color",0,0,78,20,3,Office Supplies,Art,01-02-2013,Parma,Italy,South,Consumer,05-02-2013,4,Economy,Emilia-Romagna
AZ-2011-2825684,Hollie Norris,"Acco Hole Reinforcements, Recycled",0,0,21,11,3,Office Supplies,Binders,01-02-2013,Halle,Germany,Central,Consumer,07-02-2013,6,Economy,North Rhine-Westphalia
AZ-2011-2825684,Hollie Norris,"Avery Hole Reinforcements, Durable",0,0,12,4,2,Office Supplies,Binders,01-02-2013,Halle,Germany,Central,Consumer,07-02-2013,6,Economy,North Rhine-Westphalia
BN-2011-9336144,Lara Stoate,"Fellowes File Cart, Industrial",0.1,24.8,248,8,2,Office Supplies,Storage,02-02-2013,Rosenheim,Germany,Central,Corporate,02-02-2013,0,Immediate,Bavaria
BN-2011-9336144,Lara Stoate,"Brother Wireless Fax, Laser",0,0,379,140,1,Technology,Copiers,02-02-2013,Rosenheim,Germany,Central,Corporate,02-02-2013,0,Immediate,Bavaria
AZ-2011-4614904,Caleb Kenyon,"Boston Highlighters, Water Color",0,0,44,8,2,Office Supplies,Art,02-02-2013,Torrevieja,Spain,South,Corporate,04-02-2013,2,Priority,Valenciana
AZ-2011-4696725,Courtney Hancock,"Cisco Headset, Full Size",0.1,16.2,162,43,2,Technology,Phones,02-02-2013,London,United Kingdom,North,Consumer,04-02-2013,2,Priority,England
AZ-2011-838467,Ronald Everson,"Xerox Note Cards, Premium",0.5,6.5,13,-8,1,Office Supplies,Paper,02-02-2013,Dresden,Germany,Central,Corporate,05-02-2013,3,Priority,Saxony
AZ-2011-838467,Ronald Everson,"HP Fax and Copier, Digital",0.5,43,86,0,1,Technology,Copiers,02-02-2013,Dresden,Germany,Central,Corporate,05-02-2013,3,Priority,Saxony
AZ-2011-838467,Ronald Everson,"Motorola Signal Booster, Cordless",0.5,292,584,-59,8,Technology,Phones,02-02-2013,Dresden,Germany,Central,Corporate,05-02-2013,3,Priority,Saxony
BN-2011-2468159,Brandon Preston,"SanDisk Memo Slips, Multicolor",0.5,23,46,-41,5,Office Supplies,Paper,02-02-2013,Reims,France,Central,Consumer,06-02-2013,4,Economy,Alsace-Champagne-Ardenne-Lorraine
BN-2011-2468159,Brandon Preston,"Logitech Numeric Keypad, Erganomic",0.5,22,44,-8,2,Technology,Accessories,02-02-2013,Reims,France,Central,Consumer,06-02-2013,4,Economy,Alsace-Champagne-Ardenne-Lorraine
BN-2011-2468159,Brandon Preston,"Hewlett Copy Machine, Color",0.65,357.5,550,-236,6,Technology,Copiers,02-02-2013,Reims,France,Central,Consumer,06-02-2013,4,Economy,Alsace-Champagne-Ardenne-Lorraine
BN-2011-2468159,Brandon Preston,"Konica Phone, White",0.65,57.85,89,-76,3,Technology,Machines,02-02-2013,Reims,France,Central,Consumer,06-02-2013,4,Economy,Alsace-Champagne-Ardenne-Lorraine
AZ-2011-4987681,Daryl Claypool,"Acme Box Cutter, High Speed",0,0,38,18,1,Office Supplies,Supplies,02-02-2013,Seville,Spain,South,Corporate,06-02-2013,4,Economy Plus,Andalus铆a
AZ-2011-4987681,Daryl Claypool,"Cisco Smart Phone, Full Size",0.1,58.7,587,104,1,Technology,Phones,02-02-2013,Seville,Spain,South,Corporate,06-02-2013,4,Economy Plus,Andalus铆a
AZ-2011-7043718,Winnie Moss,"Ikea Library with Doors, Pine",0,0,729,241,2,Furniture,Bookcases,02-02-2013,Barcelona,Spain,South,Consumer,07-02-2013,5,Economy Plus,Catalonia
AZ-2011-7043718,Winnie Moss,"SAFCO Steel Folding Chair, Black",0.2,53.2,266,23,4,Furniture,Chairs,02-02-2013,Barcelona,Spain,South,Consumer,07-02-2013,5,Economy Plus,Catalonia
AZ-2011-7043718,Winnie Moss,"BIC Canvas, Water Color",0,0,57,1,1,Office Supplies,Art,02-02-2013,Barcelona,Spain,South,Consumer,07-02-2013,5,Economy Plus,Catalonia
AZ-2011-7043718,Winnie Moss,"Sanford Pencil Sharpener, Water Color",0,0,116,13,4,Office Supplies,Art,02-02-2013,Barcelona,Spain,South,Consumer,07-02-2013,5,Economy Plus,Catalonia
BN-2011-7087921,Max Ludwig,"Boston Pencil Sharpener, Easy-Erase",0.5,45.5,91,-62,6,Office Supplies,Art,03-02-2013,Uppsala,Sweden,North,Home Office,05-02-2013,2,Economy Plus,Uppsala
AZ-2011-6835828,Summer Hayward,"Tenex Shelving, Industrial",0.1,14.9,149,15,3,Office Supplies,Storage,04-02-2013,Nice,France,Central,Consumer,08-02-2013,4,Economy,Provence-Alpes-C么te d'Azur
AZ-2011-2397035,Millie Newman,"Stanley Pencil Sharpener, Water Color",0,0,112,4,4,Office Supplies,Art,07-02-2013,Boulogne-sur-Mer,France,Central,Consumer,11-02-2013,4,Economy,Nord-Pas-de-Calais-Picardie
AZ-2011-2397035,Millie Newman,"Avery Binder Covers, Durable",0,0,50,6,4,Office Supplies,Binders,07-02-2013,Boulogne-sur-Mer,France,Central,Consumer,11-02-2013,4,Economy,Nord-Pas-de-Calais-Picardie
AZ-2011-2397035,Millie Newman,"Konica Receipt Printer, Wireless",0.15,31.2,208,12,2,Technology,Machines,07-02-2013,Boulogne-sur-Mer,France,Central,Consumer,11-02-2013,4,Economy,Nord-Pas-de-Calais-Picardie
AZ-2011-9421435,Larry Klaus,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0,0,31,11,3,Office Supplies,Labels,07-02-2013,La Crau,France,Central,Corporate,12-02-2013,5,Economy,Provence-Alpes-C么te d'Azur
AZ-2011-2956456,Shelby Dunston,"Stockwell Clamps, 12 Pack",0,0,110,22,6,Office Supplies,Fasteners,08-02-2013,Siena,Italy,South,Consumer,13-02-2013,5,Economy,Tuscany
AZ-2011-2606042,Piper Wilder-Neligan,"Binney & Smith Pencil Sharpener, Fluorescent",0,0,133,5,5,Office Supplies,Art,09-02-2013,Frankfurt,Germany,Central,Consumer,09-02-2013,0,Immediate,Hesse
AZ-2011-2606042,Piper Wilder-Neligan,"Cardinal Binder Covers, Clear",0,0,80,21,7,Office Supplies,Binders,09-02-2013,Frankfurt,Germany,Central,Consumer,09-02-2013,0,Immediate,Hesse
AZ-2011-5195846,Patricia Lukes,"Advantus Frame, Duo Pack",0.2,53.4,267,90,3,Furniture,Furnishings,09-02-2013,Almelo,Netherlands,Central,Corporate,13-02-2013,4,Economy,Overijssel
AZ-2011-5195846,Patricia Lukes,"GlobeWeis Manila Envelope, Set of 50",0.5,27.5,55,-19,4,Office Supplies,Envelopes,09-02-2013,Almelo,Netherlands,Central,Corporate,13-02-2013,4,Economy,Overijssel
AZ-2011-5195846,Patricia Lukes,"Rogers Trays, Wire Frame",0.5,45.5,91,-2,3,Office Supplies,Storage,09-02-2013,Almelo,Netherlands,Central,Corporate,13-02-2013,4,Economy,Overijssel
AZ-2011-9107304,Erin Gill,"Ikea Corner Shelving, Metal",0,0,368,15,3,Furniture,Bookcases,09-02-2013,Barcelona,Spain,South,Home Office,14-02-2013,5,Economy,Catalonia
AZ-2011-9107304,Erin Gill,"Binney & Smith Sketch Pad, Blue",0,0,93,24,2,Office Supplies,Art,09-02-2013,Barcelona,Spain,South,Home Office,14-02-2013,5,Economy,Catalonia
AZ-2011-9107304,Erin Gill,"Cardinal 3-Hole Punch, Clear",0,0,85,18,3,Office Supplies,Binders,09-02-2013,Barcelona,Spain,South,Home Office,14-02-2013,5,Economy,Catalonia
AZ-2011-9107304,Erin Gill,"Stockwell Rubber Bands, 12 Pack",0,0,48,5,3,Office Supplies,Fasteners,09-02-2013,Barcelona,Spain,South,Home Office,14-02-2013,5,Economy,Catalonia
AZ-2011-9107304,Erin Gill,"Smead Folders, Wire Frame",0.1,6,60,-3,4,Office Supplies,Storage,09-02-2013,Barcelona,Spain,South,Home Office,14-02-2013,5,Economy,Catalonia
BN-2011-3032749,Victoria Bell,"Avery Binder Covers, Clear",0.5,13,26,-14,5,Office Supplies,Binders,10-02-2013,Hanover,Germany,Central,Home Office,10-02-2013,0,Immediate,Lower Saxony
BN-2011-3032749,Victoria Bell,"Tenex File Cart, Industrial",0.6,129,215,-220,4,Office Supplies,Storage,10-02-2013,Hanover,Germany,Central,Home Office,10-02-2013,0,Immediate,Lower Saxony
AZ-2011-7255147,Lilian Macredie,"Sauder Library with Doors, Mobile",0,0,780,117,2,Furniture,Bookcases,10-02-2013,Basel,Switzerland,Central,Corporate,14-02-2013,4,Economy,Basel-Stadt
AZ-2011-7255147,Lilian Macredie,"BIC Highlighters, Blue",0,0,19,8,1,Office Supplies,Art,10-02-2013,Basel,Switzerland,Central,Corporate,14-02-2013,4,Economy,Basel-Stadt
AZ-2011-819110,Charlotte Taylor,"Kraft Clasp Envelope, with clear poly window",0,0,50,24,4,Office Supplies,Envelopes,10-02-2013,Marseille,France,Central,Consumer,14-02-2013,4,Economy,Provence-Alpes-C么te d'Azur
AZ-2011-819110,Charlotte Taylor,"Panasonic Receipt Printer, Wireless",0.15,30.9,206,27,2,Technology,Machines,10-02-2013,Marseille,France,Central,Consumer,14-02-2013,4,Economy,Provence-Alpes-C么te d'Azur
AZ-2011-5676694,Jasmine Slater,"Dania Classic Bookcase, Traditional",0,0,822,353,2,Furniture,Bookcases,10-02-2013,Coslada,Spain,South,Corporate,15-02-2013,5,Economy,Madrid
AZ-2011-5676694,Jasmine Slater,"Boston Highlighters, Easy-Erase",0,0,19,4,1,Office Supplies,Art,10-02-2013,Coslada,Spain,South,Corporate,15-02-2013,5,Economy,Madrid
AZ-2011-6048331,Kayleigh Farmer,"BIC Markers, Blue",0,0,26,1,1,Office Supplies,Art,14-02-2013,Elda,Spain,South,Consumer,19-02-2013,5,Economy Plus,Valenciana
AZ-2011-6048331,Kayleigh Farmer,"Eldon Box, Blue",0.1,0.9,9,2,1,Office Supplies,Storage,14-02-2013,Elda,Spain,South,Consumer,19-02-2013,5,Economy Plus,Valenciana
BN-2011-493873,Tyson Ebden,"Sauder Classic Bookcase, Pine",0.5,437.5,875,-577,4,Furniture,Bookcases,15-02-2013,Hardenberg,Netherlands,Central,Consumer,20-02-2013,5,Economy,Overijssel
BN-2011-493873,Tyson Ebden,"Barricks Coffee Table, Fully Assembled",0.7,191.1,273,-500,3,Furniture,Tables,15-02-2013,Hardenberg,Netherlands,Central,Consumer,20-02-2013,5,Economy,Overijssel
BN-2011-408191,Sophie Franklin,"Hon Executive Leather Armchair, Adjustable",0.2,145.6,728,-82,2,Furniture,Chairs,15-02-2013,Seville,Spain,South,Corporate,21-02-2013,6,Economy,Andalus铆a
BN-2011-408191,Sophie Franklin,"Rubbermaid Door Stop, Erganomic",0,0,127,19,3,Furniture,Furnishings,15-02-2013,Seville,Spain,South,Corporate,21-02-2013,6,Economy,Andalus铆a
BN-2011-307477,Maya O'Sullivan,"SAFCO Executive Leather Armchair, Black",0.1,454.4,4544,1868,11,Furniture,Chairs,16-02-2013,Muret,France,Central,Corporate,19-02-2013,3,Economy Plus,Languedoc-Roussillon-Midi-Pyr閚閑s
BN-2011-307477,Maya O'Sullivan,"Hoover Microwave, Black",0.1,27.7,277,0,1,Office Supplies,Appliances,16-02-2013,Muret,France,Central,Corporate,19-02-2013,3,Economy Plus,Languedoc-Roussillon-Midi-Pyr閚閑s
BN-2011-307477,Maya O'Sullivan,"Stanley Highlighters, Easy-Erase",0,0,90,32,6,Office Supplies,Art,16-02-2013,Muret,France,Central,Corporate,19-02-2013,3,Economy Plus,Languedoc-Roussillon-Midi-Pyr閚閑s
BN-2011-307477,Maya O'Sullivan,"Nokia Audio Dock, VoIP",0.15,42.6,284,43,2,Technology,Phones,16-02-2013,Muret,France,Central,Corporate,19-02-2013,3,Economy Plus,Languedoc-Roussillon-Midi-Pyr閚閑s
AZ-2011-2939440,Tegan Savage,"Advantus Thumb Tacks, Assorted Sizes",0,0,55,8,5,Office Supplies,Fasteners,18-02-2013,Castrop-Rauxel,Germany,Central,Consumer,22-02-2013,4,Economy Plus,North Rhine-Westphalia
AZ-2011-2939440,Tegan Savage,"OIC Staples, Assorted Sizes",0,0,62,23,7,Office Supplies,Fasteners,18-02-2013,Castrop-Rauxel,Germany,Central,Consumer,22-02-2013,4,Economy Plus,North Rhine-Westphalia
AZ-2011-9155070,Julian Mack,"Avery Hole Reinforcements, Durable",0,0,24,8,4,Office Supplies,Binders,18-02-2013,Paris,France,Central,Consumer,23-02-2013,5,Economy,Ile-de-France
AZ-2011-9155070,Julian Mack,"Panasonic Calculator, Durable",0.15,19.35,129,-2,3,Technology,Machines,18-02-2013,Paris,France,Central,Consumer,23-02-2013,5,Economy,Ile-de-France
AZ-2011-8122214,Ronald Everson,"OIC Thumb Tacks, Assorted Sizes",0,0,35,14,3,Office Supplies,Fasteners,18-02-2013,Beaune,France,Central,Corporate,24-02-2013,6,Economy,Bourgogne-Franche-Comt茅
BN-2011-555099,Jonathan Summons,"Stockwell Thumb Tacks, Assorted Sizes",0,0,21,6,2,Office Supplies,Fasteners,21-02-2013,Zurich,Switzerland,Central,Consumer,25-02-2013,4,Economy,Z眉rich
BN-2011-555099,Jonathan Summons,"Smead Box, Single Width",0,0,32,8,3,Office Supplies,Storage,21-02-2013,Zurich,Switzerland,Central,Consumer,25-02-2013,4,Economy,Z眉rich
AZ-2011-2270958,Eva Hargraves,"Barricks Round Table, with Bottom Storage",0.5,501.5,1003,-943,4,Furniture,Tables,21-02-2013,Milan,Italy,South,Consumer,26-02-2013,5,Economy,Lombardy
AZ-2011-2270958,Eva Hargraves,"Binney & Smith Canvas, Water Color",0,0,164,78,3,Office Supplies,Art,21-02-2013,Milan,Italy,South,Consumer,26-02-2013,5,Economy,Lombardy
